Tunworth,M1
"A pasteurised English brie-style cheese, with the thinnest rind",M2
and a fruity tang.,M2
Country of Origin	British Isles,M3
Milk Variety	Cows',M2
"Style of Cheese	Soft
Vegetarian?	No
Organic?	No
Unpasteurised?	No
For Pregnant Women?	No",M2
Stacey Hedges only started making cheese in 2004.,M1
Tunworth became Supreme Champion at the British Cheese Awards in 2006.,M2
"The cheese has the thinnest possible rind, an undulating surface,",M2
and a profoundly fruity tang - enough to convince a Frenchman that this was made on his terroir.,M2
