Curworthy,M1
A creamy-textured,M2
full flavoured traditional farmhouse hard cheese,M2
that has an open texture,M2
and a rich buttery taste that develops with age.,M2
"Based on a 17th century recipe,",M3
Curworthy cheese is hand-made by Rachel Stevens on Stockbeare Farm near Okehampton in Devon.,M1
It is made with the unpasteurised milk from the farm's own Friesian cows,M2
and is matured for three to four months.,M3
Curworthy has a distinctive black wax coating. It is available prepacked as part of the Select range of cheeses at Waitrose.,M2
"Uses: Serve on a cheeseboard or use in cooking, Curworthy is a particularly good melting cheese and can be grated and sprinkled over potato topped pies, omelettes or cauliflower cheese before melting under a preheated grill.",M5
"To eat: If serving on a cheeseboard remove the cheese from the fridge an hour before serving, to allow it to come to room temperature and to develop its full texture and flavour.
",M5
