"Beenleigh Blue
",M1
"Beenleigh Blue is a modern, farmhouse, unpasteurized, organic, vegetarian, blue cheese",M2
made from sheep's milk.,M2
"Produced by Ben Harris of Ticklemore Cheese Company,",M1
"the cheese is based on a Roquefort recipe invented by Robin Congden, the founder of the company.

Beenleigh Blue is one of the few blue sheep%u2019s milk cheeses produced in Britain.",M2
"It is made between January and July using the milk of Dorset-Friesland cross sheep from the farm of Terry Perkins, located in Cornwall.

Shaped into a cylinder,",M3
"the cheese has a rough, crusty, natural rind which is slightly sticky with some patches of blue, gray and white moulds. It is moist, yet crumbly, with the blue appearing as bold blue-green streaks through the white interior.",M2
"The flavor is steely blue, with the burnt caramel sweetness, characteristic of fine sheep's milk. It melts on the palate, disclosing its strong, spicy character.",M2
"A wonderful companion to Mead, Port, Cabernet Merlot or Sweet Cider.",M5
The cheese ripens in six months,M3
and has a fat content of 45 - 50 per cent.,M2
Made from sheep's milk,M2
"Country of origin: England and United Kingdom
Region: Devon",M3
"Type: soft, blue-veined
Fat content: 45-50%
Texture: crumbly, dense and smooth
Rind: natural
Color: ivory",M2
