Kirkham's Lancashire,M1
This award winning cheese,M2
is individually hand-made,M3
from unpasteurised milk,M2
at the Kirkham's family farm in Goosnargh on the slopes of Beacon Fell in the heart of Lancashire.,M1
"It is made using three day curd to give a subtly mottled, unique texture.",M3
 Each cheese is handturned and rubbed to develop the unique rind.,M3
"Kirkham's Lancashire is part of the Select range of prepacked cheeses available from Waitrose and is available from 62 branches.
",M2
"Uses: Serve simply with biscuits and celery or use to make really creamy cheese on toast.
",M5
"To eat: If serving on a cheeseboard remove the cheese from the fridge an hour before serving, to allow it to come to room temperature and to develop its full texture and flavour.
",M5
