Swaledale,M1
A creamy full flavoured,M2
cow's milk,M2
traditional Yorkshire cheese with an earthy almost grassy taste. It has a subtle acidity,M2
and is softer and moister than Wensleydale which is produced in the next valley.,M2
"Swaledale is hand-made in Richmond, the gateway to Swaledale, by David and Mandy Reed",M1
"and is left open to the air to mature which results in a hard, natural rind with a bluey grey mould.",M3
"It is suitable for vegetarians,",M2
made using pasteurised milk,M2
and is available from the service counter at selected branches of Waitrose.,M2
"Swaledale won a silver medal at the British Cheese Awards in 2001.
",M2
"Uses: Use Swaledale to make cheese and pickle sandwiches, or serve it with tomato chutney, celery and wholemeal bread.",M5
"To eat: If serving on a cheeseboard, remove the cheese from the fridge an hour before serving, to allow it to come to room temperature and to develop its full texture and flavour.",M5
